央视,#genre#
CCTV12,http://27.10.214.203:8010/udp/225.0.4.129:7980
CCTV12,http://27.10.77.87:8010/udp/225.0.4.129:7980
CCTV12,http://58.63.64.214:8888/udp/239.77.0.136:5146
CCTV12,http://58.63.64.214:8888/udp/239.77.1.109:5146
CCTV12,http://58.63.64.214:8888/udp/239.77.1.170:5146
CCTV12,http://60.220.167.63:8082/rtp/226.0.2.164:9224
CCTV13,http://111.161.141.169:4022/udp/225.1.2.193:5002
CCTV13,http://113.206.119.251:8001/udp/225.0.4.219:7980
CCTV13,http://113.206.119.251:8002/udp/225.0.4.219:7980
CCTV13,http://113.206.119.251:8005/udp/225.0.4.219:7980
CCTV13,http://115.153.77.143:6002/udp/239.252.219.139:5140
CCTV13,http://121.24.98.44:8090/hls/21/index.m3u8
CCTV13,http://123.101.98.21:2000/rtp/239.16.10.111:2000
CCTV13,http://123.101.98.21:2000/rtp/239.16.20.13:10130
CCTV13,http://123.101.98.21:2001/rtp/239.16.10.111:2000
CCTV13,http://123.101.98.21:2001/rtp/239.16.20.13:10130
CCTV13,http://27.10.214.203:8010/udp/225.0.4.219:7980
CCTV13,http://27.10.77.87:8010/udp/225.0.4.219:7980
CCTV13,http://58.63.64.214:8888/udp/239.253.43.196:5146
CCTV13,http://58.63.64.214:8888/udp/239.77.0.188:5146
CCTV13,http://60.220.167.63:8082/rtp/226.0.2.165:9232
CCTV14,http://111.161.141.169:4022/udp/225.1.1.144:5002
CCTV14,http://113.206.119.251:8001/udp/225.0.4.128:7980
CCTV14,http://113.206.119.251:8002/udp/225.0.4.128:7980
CCTV14,http://113.206.119.251:8005/udp/225.0.4.128:7980
CCTV14,http://115.153.77.143:6002/udp/239.252.220.92:5140
CCTV14,http://121.24.98.44:8090/hls/22/index.m3u8
CCTV14,http://123.101.98.21:2000/rtp/239.16.10.112:2000
CCTV14,http://123.101.98.21:2000/rtp/239.16.20.14:10140
CCTV14,http://123.101.98.21:2001/rtp/239.16.10.112:2000
CCTV14,http://123.101.98.21:2001/rtp/239.16.20.14:10140
CCTV14,http://182.122.73.39:8089/hls/14/index.m3u8
CCTV14,http://27.10.214.203:8010/udp/225.0.4.128:7980
CCTV14,http://27.10.77.87:8010/udp/225.0.4.128:7980
CCTV14,http://58.63.64.214:8888/udp/239.77.0.133:5146
